year,year-href,date,win/loss
2013,http://www.landofbasketball.com/results_by_team/2012_2013_lakers.htm,3/5/13,L
2013,http://www.landofbasketball.com/results_by_team/2012_2013_lakers.htm,2/25/13,L
2013,http://www.landofbasketball.com/results_by_team/2012_2013_lakers.htm,2/24/13,W
2013,http://www.landofbasketball.com/results_by_team/2012_2013_lakers.htm,2/20/13,W
2013,http://www.landofbasketball.com/results_by_team/2012_2013_lakers.htm,2/16/13,L
2013,http://www.landofbasketball.com/results_by_team/2012_2013_lakers.htm,2/14/13,L
2013,http://www.landofbasketball.com/results_by_team/2012_2013_lakers.htm,2/12/13,W
2013,http://www.landofbasketball.com/results_by_team/2012_2013_lakers.htm,2/7/13,L
2013,http://www.landofbasketball.com/results_by_team/2012_2013_lakers.htm,2/5/13,W
2013,http://www.landofbasketball.com/results_by_team/2012_2013_lakers.htm,2/3/13,W
2013,http://www.landofbasketball.com/results_by_team/2012_2013_lakers.htm,2/1/13,W
2013,http://www.landofbasketball.com/results_by_team/2012_2013_lakers.htm,1/30/13,L
2013,http://www.landofbasketball.com/results_by_team/2012_2013_lakers.htm,1/25/13,W
2013,http://www.landofbasketball.com/results_by_team/2012_2013_lakers.htm,1/20/13,L
2013,http://www.landofbasketball.com/results_by_team/2012_2013_lakers.htm,1/8/13,L
2013,http://www.landofbasketball.com/results_by_team/2012_2013_lakers.htm,1/1/13,L
2013,http://www.landofbasketball.com/results_by_team/2012_2013_lakers.htm,12/28/12,W
2013,http://www.landofbasketball.com/results_by_team/2012_2013_lakers.htm,12/18/12,W
2013,http://www.landofbasketball.com/results_by_team/2012_2013_lakers.htm,12/13/12,L
2013,http://www.landofbasketball.com/results_by_team/2012_2013_lakers.htm,12/5/12,W
2013,http://www.landofbasketball.com/results_by_team/2012_2013_lakers.htm,12/2/12,L
2013,http://www.landofbasketball.com/results_by_team/2012_2013_lakers.htm,11/21/12,L
2013,http://www.landofbasketball.com/results_by_team/2012_2013_lakers.htm,11/20/12,W
2013,http://www.landofbasketball.com/results_by_team/2012_2013_lakers.htm,11/18/12,W
2013,http://www.landofbasketball.com/results_by_team/2012_2013_lakers.htm,11/16/12,W
2013,http://www.landofbasketball.com/results_by_team/2012_2013_lakers.htm,11/13/12,L
2013,http://www.landofbasketball.com/results_by_team/2012_2013_lakers.htm,11/11/12,W
2013,http://www.landofbasketball.com/results_by_team/2012_2013_lakers.htm,11/9/12,W
2013,http://www.landofbasketball.com/results_by_team/2012_2013_lakers.htm,11/4/12,W
2013,http://www.landofbasketball.com/results_by_team/2012_2013_lakers.htm,11/2/12,L
2013,http://www.landofbasketball.com/results_by_team/2012_2013_lakers.htm,10/31/12,L
2013,http://www.landofbasketball.com/results_by_team/2012_2013_lakers.htm,10/30/12,L
2013,http://www.landofbasketball.com/results_by_team/2012_2013_lakers.htm,10/21/12,W
2013,http://www.landofbasketball.com/results_by_team/2012_2013_lakers.htm,8/13/12,W
2013,http://www.landofbasketball.com/results_by_team/2012_2013_lakers.htm,5/27/12,L
